ANT1	47.04	112.83	0.00	2450AT18B100E_2450AT18B100E	2450AT18B100E_ANTC3216X140N
C1	49.12	121.46	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C1-EP-DR	5.03	123.09	0.00	10uF	PERFECT_0402_0402
C10	46.79	125.73	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C11	46.23	125.15	0.00	100pF	NORDIC_NRF_3_RESC0201_L
C12	44.15	125.37	0.00	100nF	NORDIC_NRF_3_RESC0201_L
C13	42.37	128.47	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C14	32.56	127.66	0.00	4.7uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15	43.59	127.66	0.00	1.0uF	PERFECT_0402_0402
C16	43.43	126.75	0.00	47nF	NORDIC_NRF_3_RESC0201_L
C17	34.39	127.15	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C18	31.70	125.27	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C19	25.50	122.53	117.10	100nF	PERFECT_0402_0402
C2	49.12	123.04	0.00	12pF	NORDIC_NRF_3_RESC0201_L
C2-EP-DR	9.25	122.94	0.00	4.7uF	PERFECT_0402_0402
C20	33.27	119.00	0.00	4.7uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21	36.12	116.89	0.00	4.7uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22	48.72	119.18	0.00	N.C.	NORDIC_NRF_3_RESC0201_L
C23	19.81	110.19	355.60	0.1uF	GRM011R60J152KE01L_1_0201
C24	22.66	111.66	0.00	10uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25	20.27	105.41	0.00	22uF	ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27	41.45	99.92	0.00	0.1uF	NORDIC_NRF_3_RESC0201_L
C29	36.83	103.53	0.00	1uF	PERFECT_0402_0402
C3	45.31	119.02	0.00	1pF	NORDIC_NRF_3_RESC0201_L
C30	15.54	103.78	0.00	1uF	PERFECT_0402_0402
C31	26.77	104.19	0.00	1uF	PERFECT_0402_0402
C32	48.16	108.81	0.00	1uF	PERFECT_0402_0402
